;;;bastille;vercors
10/07/17;13:57:00;10/07/2017 13:57:00;60;47,3
10/07/17;15:25:00;10/07/2017 15:25:00;53;50,4
10/07/17;16:14:00;10/07/2017 16:14:00;45,2;54,6
10/07/17;16:58:00;10/07/2017 16:58:00;39,4;45,3
10/07/17;19:15:00;10/07/2017 19:15:00;24,4;26,1
10/07/17;19:58:00;10/07/2017 19:58:00;26,9;32,6
10/07/17;20:40:00;10/07/2017 20:40:00;24;24,3
10/07/17;21:03:00;10/07/2017 21:03:00;23;23
10/07/17;22:00:00;10/07/2017 22:00:00;21,5;21,1
10/07/17;23:00:00;10/07/2017 23:00:00;18,8;18,6
10/07/17;23:57:00;10/07/2017 23:57:00;18,8;18,8
11/07/17;07:30:00;11/07/2017 07:30:00;18,7;18,7
11/07/17;10:15:00;11/07/2017 10:15:00;25,8;25,1
11/07/17;12:00:00;11/07/2017 12:00:00;24;25,2
11/07/17;13:16:00;11/07/2017 13:16:00;39;38,4
11/07/17;16:51:00;11/07/2017 16:51:00;42;59
11/07/17;23:37:00;11/07/2017 23:37:00;18,8;19,4
12/07/17;00:18:00;12/07/2017 00:18:00;18,4;19,2
12/07/17;00:38:00;12/07/2017 00:38:00;17,5;17,8
12/07/17;01:17:00;12/07/2017 01:17:00;17;17,1
12/07/17;08:09:00;12/07/2017 08:09:00;31,2;17,7
12/07/17;08:46:00;12/07/2017 08:46:00;43;19,5
12/07/17;09:22:00;12/07/2017 09:22:00;52;21,2
12/07/17;09:55:00;12/07/2017 09:55:00;57;23,9
12/07/17;10:44:00;12/07/2017 10:44:00;63,3;30
12/07/17;11:27:00;12/07/2017 11:27:00;62;34,6
12/07/17;12:04:00;12/07/2017 12:04:00;60;38,4
12/07/17;13:00:00;12/07/2017 13:00:00;67;46
12/07/17;13:30:00;12/07/2017 13:30:00;63;49,2
12/07/17;14:23:00;12/07/2017 14:23:00;69;57,4
12/07/17;15:07:00;12/07/2017 15:07:00;65;58
12/07/17;15:49:00;12/07/2017 15:49:00;62,5;59
12/07/17;16:20:00;12/07/2017 16:20:00;57,4;61,4
12/07/17;17:02:00;12/07/2017 17:02:00;48,9;55,8
12/07/17;17:38:00;12/07/2017 17:38:00;44,2;48,2
13/07/17;00:22:00;13/07/2017 00:22:00;23;22,8
